Id,PatientTaskHandMappingId,SegmentId,Start,End,CreatedAt,UpdatedAt
1,1,1,75,111,2022-11-29 06:34:16.3254527,2023-02-01 01:49:10.8866201
2,1,2,92,111,2022-11-29 06:34:16.3921381,2023-02-01 01:49:10.9053986
3,1,3,111,139,2022-11-29 06:34:16.4006869,2023-02-01 01:49:10.9148124
4,1,4,138,169,2022-11-29 06:34:16.4087134,2023-02-01 01:49:10.9243799
5,9,1,65,112,2022-11-29 07:34:04.4657556,2022-12-01 00:26:01.8391062
6,9,2,99,112,2022-11-29 07:34:04.5320149,2022-12-01 00:26:01.8674785
7,9,3,113,161,2022-11-29 07:34:04.5402614,2022-12-01 00:26:01.8840928
8,9,4,161,186,2022-11-29 07:34:04.5541941,2022-12-01 00:26:01.9012088
9,6,1,71,123,2022-11-29 08:19:58.3627583,2022-12-01 03:36:06.1233566
10,6,2,89,123,2022-11-29 08:19:58.4256827,2022-12-01 03:36:06.1515056
11,6,3,124,167,2022-11-29 08:19:58.4334313,2022-12-01 03:36:06.1668562
12,6,4,167,211,2022-11-29 08:19:58.4411667,2022-12-01 03:36:06.1801077
13,25,1,41,79,2022-11-29 09:00:36.0606942,2022-12-01 03:32:12.3737061
14,25,2,64,79,2022-11-29 09:00:36.1099818,2022-12-01 03:32:12.3926650
15,25,3,80,137,2022-11-29 09:00:36.1176166,2022-12-01 03:32:12.4013566
16,25,6,137,292,2022-11-29 09:00:36.1249036,2022-12-01 03:32:12.4096424
17,25,5,293,308,2022-11-29 09:00:36.1322463,2022-12-01 03:32:12.4181271
18,25,4,308,366,2022-11-29 09:00:36.1401688,2022-12-01 03:32:12.4265159
19,51,7,54,67,2022-11-29 23:47:36.6538765,2022-12-01 04:19:23.2609914
20,51,8,67,79,2022-11-29 23:47:36.6722846,2022-12-01 04:19:23.2797278
21,51,6,79,92,2022-11-29 23:47:36.6803095,2022-12-01 04:19:23.2889336
22,68,1,32,170,2022-11-29 23:56:30.7596454,2022-12-04 20:37:54.7299337
23,68,2,85,170,2022-11-29 23:56:30.8105756,2022-12-04 20:37:54.7482798
24,68,3,169,236,2022-11-29 23:56:30.8245057,2022-12-04 20:37:54.7577852
25,68,4,236,298,2022-11-29 23:56:30.8322578,2022-12-04 20:37:54.7663582
26,73,1,93,145,2022-11-30 00:03:04.6105530,2022-12-04 20:38:06.1432573
27,73,2,118,145,2022-11-30 00:03:04.6696023,2022-12-04 20:38:06.1611399
28,73,3,145,177,2022-11-30 00:03:04.6778479,2022-12-04 20:38:06.1705833
29,73,4,177,236,2022-11-30 00:03:04.6859155,2022-12-04 20:38:06.1797230
30,93,7,37,52,2022-11-30 00:15:16.3093716,2022-12-04 20:38:14.7075257
31,93,8,52,64,2022-11-30 00:15:16.3744078,2022-12-04 20:38:14.7257898
32,93,6,65,133,2022-11-30 00:15:16.3818710,2022-12-04 20:38:14.7345538
33,108,1,513,537,2022-11-30 00:32:26.0359049,2022-12-01 00:35:34.6707087
34,108,2,526,538,2022-11-30 00:32:26.0934075,2022-12-01 00:35:34.6961352
35,108,3,538,557,2022-11-30 00:32:26.1011305,2022-12-01 00:35:34.7056567
36,108,4,556,601,2022-11-30 00:32:26.1085985,2022-12-01 00:35:34.7149603
37,139,1,33,89,2022-11-30 00:55:59.8301358,2022-12-01 00:35:56.8635473
38,139,2,69,89,2022-11-30 00:55:59.8539725,2022-12-01 00:35:56.8760395
39,139,3,88,99,2022-11-30 00:55:59.8616188,2022-12-01 00:35:56.8853933
40,139,6,98,197,2022-11-30 00:55:59.8695320,2022-12-01 00:35:56.8948510
41,139,5,195,202,2022-11-30 00:55:59.8777808,2022-12-01 00:35:56.9045119
42,139,4,204,247,2022-11-30 00:55:59.8856855,2022-12-01 00:35:56.9141605
43,159,1,44,129,2022-11-30 00:58:56.1037032,2022-12-04 20:38:27.1076271
44,159,2,75,128,2022-11-30 00:58:56.1242424,2022-12-04 20:38:27.1251191
45,159,3,129,153,2022-11-30 00:58:56.1328940,2022-12-04 20:38:27.1345616
46,159,4,151,212,2022-11-30 00:58:56.1411980,2022-12-04 20:38:27.1436424
47,164,1,71,130,2022-11-30 21:40:59.9153416,2022-12-04 20:38:39.5746597
48,164,2,92,130,2022-11-30 21:40:59.9395359,2022-12-04 20:38:39.5926016
49,164,3,130,168,2022-11-30 21:40:59.9472419,2022-12-04 20:38:39.6018176
50,164,4,168,193,2022-11-30 21:40:59.9546295,2022-12-04 20:38:39.6105965
51,166,1,46,75,2022-11-30 21:45:25.9275449,2022-12-02 09:26:56.7993964
52,166,2,65,75,2022-11-30 21:45:25.9463468,2022-12-02 09:26:56.8085933
53,166,3,74,102,2022-11-30 21:45:25.9540761,2022-12-02 09:26:56.8179560
54,166,4,102,142,2022-11-30 21:45:25.9615238,2022-12-02 09:26:56.8263580
55,168,1,66,122,2022-11-30 23:13:38.2244263,2022-12-01 00:24:21.1524293
56,168,2,85,122,2022-11-30 23:13:38.2979369,2022-12-01 00:24:21.2641486
